CLOSE_AUDUSD.FX,CLOSE_EURUSD.FX,CLOSE_GBPUSD.FX,CLOSE_NZDUSD.FX,CLOSE_USDCAD.FX,CLOSE_USDCHF.FX,CLOSE_USDCNH.FX,CLOSE_USDCNY.FX,CLOSE_USDDKK.FX,CLOSE_USDHKD.FX,CLOSE_USDJPY.FX,CLOSE_USDNOK.FX,CLOSE_USDSEK.FX
0.7809,1.2005,1.3513,0.7098,1.2571,0.9743,6.5143,6.5773,6.2069,7.814,112.69,8.2042,8.1833
0.7794,1.1943,1.3443,0.7084,1.2570000000000001,0.9786,6.5309,6.5848,6.234,7.8157,112.87,8.2514,8.2454
0.7768,1.1888,1.34,0.7057,1.2655,0.9863,6.5554,6.5785,6.2627,7.8104,113.35,8.2721,8.2762
0.7728,1.1858,1.3374,0.7040000000000001,1.2687,0.9893,6.5415,6.6047,6.278,7.8125,113.23,8.3091,8.3479
0.7717,1.187,1.3371,0.7024,1.2727,0.99,6.5545,6.6164,6.2721,7.8143,113.26,8.3114,8.327
0.7709,1.1862,1.3363,0.7022,1.2729,0.988,6.567,6.6093,6.2749,7.8152,113.29,8.3181,8.3175
0.7702,1.1874,1.3386,0.7017,1.274,0.9885,6.5664,6.6093,6.2694,7.8186,113.33,8.3548,8.3793
0.7667,1.1871,1.3376,0.7013,1.2835,0.9869,6.5646,6.6195,6.2709,7.8231,113.4,8.4106,8.402999999999999
0.7663,1.1840000000000002,1.3385,0.6972,1.2878,0.9849,6.6062,6.6215,6.2869,7.8163,112.89,8.3495,8.4079
0.7664,1.1782,1.3383,0.6995,1.2862,0.9857,6.6088,6.6186,6.3173,7.8154,112.55,8.3596,8.4363
0.7646,1.1749,1.3319999999999999,0.6993,1.2866,0.9905,6.606,6.6209,6.3359,7.8119,112.6,8.3833,8.5041
0.7666,1.1778,1.3431,0.6983,1.2797,0.9891,6.6069,6.6193,6.3212,7.8087,112.39,8.2978,8.4394
0.7637,1.1826,1.3419999999999999,0.7024,1.2817,0.9854,6.614,6.6149,6.2943,7.8042,112.54,8.325,8.4131
0.7558,1.1742,1.3318,0.6934,1.2866,0.9916,6.6279,6.6193,6.3383,7.8071,113.55,8.3466,8.4206
0.7526,1.1769,1.3341,0.6912,1.2856,0.9918,6.6218,6.6198,6.3237,7.8063,113.56,8.3824,8.5033
0.7509,1.1773,1.339,0.6847,1.2848,0.9927,6.6238,6.6163,6.3214,7.8061,113.48,8.2942,8.4452
0.7511,1.1773,1.3474,0.6831,1.2854,0.9944,6.6249,6.6091,6.3214,7.807,113.09,8.3163,8.4861
0.7564,1.1796,1.3393,0.6883,1.2789,0.9899,6.6179,6.6167,6.3084,7.8134,112.29,8.2722,8.4362
0.7607,1.1826,1.3443,0.6876,1.2691,0.9874,6.6181,6.6078,6.2922,7.8167,112.6,8.262,8.3629
0.7598,1.1866,1.348,0.6859,1.2673,0.985,6.6186,6.5992,6.2718,7.8182,112.41,8.3316,8.42
0.7613,1.1896,1.3477,0.6891,1.2685,0.9762,6.5984,6.6018,6.2561,7.8128,112.17,8.2852,8.3532
0.7566,1.1904,1.3525,0.6832,1.2897,0.9836,6.6112,6.5835,6.2517,7.8099,112.54,8.3188,8.3768
0.757,1.1847,1.3409,0.6881,1.2865,0.9846,6.612,6.6103,6.2826,7.8091,111.93,8.2557,8.3689
0.7595,1.1840000000000002,1.3339,0.69,1.2815,0.9842,6.6082,6.629,6.2862,7.8033,111.48,8.2453,8.3511
0.7602,1.1898,1.3318,0.6912,1.2769,0.9817,6.5975,6.6372,6.2544,7.8003,111.09,8.1522,8.3029
0.7617,1.1933,1.3337,0.6876,1.2712,0.9795,6.5881,6.6268,6.2379,7.8078,111.53,8.1302,8.2778
0.7625,1.1851,1.3309,0.6891,1.2713,0.9818,6.579,6.6303,6.2803,7.8113,111.22,8.1368,8.2972
0.7617,1.1822,1.3325,0.6883,1.2696,0.982,6.5967,6.624,6.295,7.8107,111.22,8.1537,8.338
0.7578,1.1738,1.3239,0.6829,1.2778,0.9914,6.6271,6.6361,6.3399,7.8111,112.45,8.2129,8.4302
0.755,1.1733,1.3235,0.6809,1.2819999999999998,0.9934,6.6471,6.6405,6.3427,7.8109,112.62,8.2912,8.4851
0.7564,1.179,1.3215,0.6809,1.2763,0.9891,6.6365,6.6409,6.3104,7.8116,112.1,8.2402,8.4277
0.7588,1.177,1.3195,0.6851,1.2757,0.9941,6.632999999999999,6.6402,6.3215,7.8099,113.06,8.2099,8.3986
0.7589,1.1791,1.3171,0.6877,1.2764,0.9884,6.6327,6.627999999999999,6.3121,7.8063,112.88,8.2448,8.4295
0.7631,1.1798,1.3165,0.6876,1.2731,0.9893,6.6367,6.6405,6.3068,7.8026,113.46,8.1804,8.395
0.7623,1.1667,1.3116,0.6903,1.2733,0.9963,6.6571,6.6338,6.3768,7.8015,113.62,8.1649,8.3833
0.7661,1.1665,1.3196,0.6937,1.2682,0.9961,6.6365,6.638999999999999,6.4127,7.8024,113.53,8.1762,8.4337
0.768,1.1642,1.3145,0.6948,1.2683,0.9940000000000001,6.648,6.6093,6.3923,7.7994,113.47,8.1325,8.378
